Tool	Platform	Code	Description	License	Added	Updated
switchde	R	https://github.com/kieranrcampbell/switchde	Differential expression analysis across pseudotime. Identify genes that exhibit switch-like up or down regulation along single-cell trajectories along with where in the trajectory the regulation occurs.	GPL-2.0-or-later	2016-09-09	2017-01-10
SWNE	R/C++	https://github.com/yanwu2014/swne	Similarity Weighted Nonnegative Embedding (SWNE), is a method for visualizing high dimensional datasets.	GPL-2.0	2018-03-08	2019-01-06
Symphony	R/C++	https://github.com/immunogenomics/symphony	Efficient and precise single-cell reference atlas mapping with Symphony	GPL-3.0	2020-11-22	2021-10-18
SymSim	R	https://github.com/YosefLab/SymSim	SymSim (Synthetic model of multiple variability factors for Simulation) is an R package for simulation of single cell RNA-Seq data	Artistic-2.0	2018-08-03	2019-06-20
SynergisticCore	R/C++	https://git-r3lab.uni.lu/satoshi.okawa/synergisticcore	A new computational method for determining such synergistic identity cores of subpopulations within a given cell population.	NA	2019-03-01	2019-03-01
talklr	R	https://github.com/yuliangwang/talklr	An information theory-based approach to uncover potential ligand-receptor interactions involved in tissue homeostasis and diseases	GPL-2.0-or-later	2020-02-20	2020-02-20
Tangram	Python	https://github.com/broadinstitute/Tangram	Tangram is a Python package, written in PyTorch, for mapping single-cell (or single-nucleus) gene expression data onto spatial gene expression data	BSD-3-Clause	2020-09-17	2021-11-27
TAR-scRNA-seq	Snakemake	https://github.com/fw262/TAR-scRNA-seq	TAR-scRNA-seq (Transcriptionally Active Region single-cell RNA-seq) is a workflow that enables the discovery of transcripts beyond those listed in gene annotations in scRNA-seq analysis	GPL-3.0	2020-08-14	2020-08-14
TASC	C++	https://github.com/scrna-seq/TASC	TASC (Toolkit for Analysis of Single Cell RNA-seq), an empirical Bayes approach to reliably model the cell-specific dropout rates and amplification bias by use of external RNA spike-ins.	MIT	2017-03-29	2018-03-14
tascCODA	Python	https://github.com/bio-datascience/tascCODA	Tree-aggregated compositional analysis for high-throughput sequencing data	BSD-3-Clause	2021-09-10	2021-12-17
TASIC	MATLAB	https://www.andrew.cmu.edu/user/sabrinar/TASIC/TASIC.htm	TASIC uses a Hidden Markov Model (HMM) based on a probabilistic Kalman Filter approach to combine time and expression information for determining the branching process associated with time series single cell studies.	NA	2017-04-27	2017-04-27
TBSP	Python	https://github.com/phoenixding/tbsp	TBSP: Trajectory Inference Based on SNP information	NA	2018-11-13	2018-11-13
TCM	R	https://github.com/gongx030/tcm	TCM is an R package for visualizing temporal single cell RNA-seq data	MIT	2018-07-27	2018-07-27
TDL	Python	https://github.com/xiaoyeye/TDL	Time-course Deep Learning (TDL) models for gene interaction inference	NA	2020-10-05	2020-10-05
TED	R	https://github.com/Danko-Lab/TED	Tumor micro-Environment Deconvolution (TED): A Fully Bayesian Inference of Tumor Microenvironment composition and gene expression	GPL-2.0-or-later	2020-01-14	2020-01-14
TedSim	R	https://github.com/Galaxeee/TedSim	A simulator that simulates the cell division events from the root cell to present-day cells, simultaneously generating the CRISPR/Cas9 genome editing lineage barcodes and scRNA-seq data	NA	2021-06-25	2021-06-25
Tempo	Python	https://github.com/bauerbach95/tempo	A Bayesian Algorithm for Circadian Phase Inference in Single-Cell RNA-Sequencing Data	MIT	2022-03-25	2022-03-25
Tempora	R	https://github.com/BaderLab/Tempora	Tempora: cell trajectory inference using time-series single-cell RNA sequencing data	MIT	2019-11-27	2019-11-27
TENET	Python	https://github.com/neocaleb/TENET	A tool for reconstructing Transfer Entropy-based causal gene NETwork from pseudo-time ordered single cell transcriptomic data	NA	2019-11-12	2020-11-15
TILPRED	R	https://github.com/carmonalab/TILPRED	R Package for the classification of tumor-infiltrating CD8+ lymphocytes (TILs) from single-cell RNA-seq data	GPL-3.0	2019-11-08	2021-06-11
TinGa	R	https://github.com/Helena-todd/TinGa	A trajectory inference method based on the Growing Neural Gas algorithm	GPL-3.0	2020-08-06	2020-08-06
tn_test	Python	https://github.com/jessemzhang/tn_test	Truncated normal test for differential expression following clustering	NA	2018-11-09	2020-04-24
Tobiko	Shell	https://github.com/juugii/tobiko	Detection of rearranged TCR (and BCR) chains in single cell experiments	NA	2022-03-18	2022-03-18
TooManyCells	Haskell/Docker/R	https://github.com/faryabiLab/too-many-cells	Cluster single cells and analyze cell clade relationships with colorful visualizations.	GPL-3.0	2019-01-18	2020-05-29
TopOMetry	Python	https://github.com/davisidarta/topometry	A global framework for dimensionality reduction: learning topologic metrics, orthogonal bases and graph layouts	MIT	2022-03-18	2022-03-18
topslam	Python	https://github.com/mzwiessele/topslam	Extracting and using probabilistic Waddington's landscape recreation from single cell gene expression measurements.	BSD-3-Clause	2016-09-12	2016-09-12
TraCeR	Python	https://github.com/teichlab/tracer	TraCeR - reconstruction of T cell receptor sequences from single-cell RNA-seq data.	Apache-2.0	2016-09-08	2017-09-11
tradeSeq	R	https://github.com/statomics/tradeSeq	tradeSeq provides a flexible method for discovering genes that are differentially expressed along one or multiple lineages, using a variety of tests suited to answer many questions of interest	MIT	2019-06-13	2019-11-03
Trajan	C++/R	https://github.com/canzarlab/Trajan	Alignment of complex trajectories from single-cell RNAseq experiments.	NA	2019-01-25	2019-01-25
transformGamPoi	R	https://github.com/const-ae/transformGamPoi	transformGamPoi provides methods to stabilize the variance of single cell count data	GPL-3.0	2021-07-02	2021-10-29
TRAPeS	Python	https://github.com/yoseflab/trapes	TRAPeS (TCR Reconstruction Algorithm for Paired-End Single-cell),  software for reconstruction of T cell receptors (TCR) using short, paired-end single-cell RNA-sequencing.	Custom	2016-11-10	2017-09-09
TraSig	Python	https://github.com/doraadong/TraSig	TraSig (Trajectory-based Signalling genes inference) identifies interacting cell types pairs and significant ligand-receptors based on the expression of genes as well as the pseudo-time ordering of cells	MIT	2021-07-31	2022-03-18
traviz	R	https://github.com/koenvandenberge/traviz	A package with trajectory functions for visualization and interpretation	MIT	2021-11-05	2021-11-05
Tree-SNE	Python	https://github.com/isaacrob/treesne	A hierarchical clustering and visualization algorithm based on stacked one-dimensional t-SNE embeddings	GPL-3.0	2020-02-21	2020-02-21
TreeCorTreat	R	https://github.com/byzhang23/TreeCorTreat	TreeCorTreat is an open source R package that uses a tree-based correlation screen to analyze and visualize the association between phenotype and transcriptomic features and cell types at multiple cell type resolution levels	GPL-3.0	2021-11-05	2021-11-12
trendsceek	R	https://github.com/edsgard/trendsceek	Identify genes with spatial expression trends in single-cell gene-expression data.	GPL-3.0	2018-04-04	2018-04-04
Triangulate	R	https://github.com/SchulzLab/Triangulate	Triangulate provides a platform for linking regulatory elements to gene expression in single cells	MIT	2020-11-08	2020-11-08
tricycle	R	https://github.com/hansenlab/tricycle	Transferable Representation and Inference of cell cycle	GPL-3.0	2021-04-12	2022-03-04
Triku	Python	https://gitlab.com/alexmascension/triku	A feature selection method based on nearest neighbors for single-cell data	BSD-3-Clause	2021-02-19	2022-03-18
TRUmiCount	R/Shell	https://github.com/Cibiv/trumicount	TRUmiCount uses a mechanistic model of PCR amplification to correct for both amplification and lost molecule errors.	AGPL-3.0	2018-04-23	2018-04-23
TRUST4	C/C++	https://github.com/liulab-dfci/TRUST4	Tcr Receptor Utilities for Solid Tissue (TRUST) is a computational tool to analyze TCR and BCR sequences using unselected RNA sequencing data, profiled from solid tissues, including tumors	GPL-3.0	2021-05-21	2021-05-21
trVAE	Python	https://github.com/theislab/trVAE	trVAE is a deep generative model which learns mapping between multiple different styles (conditions)	MIT	2019-11-03	2021-06-28
TSCAN	R	https://github.com/zji90/TSCAN	Pseudo-time reconstruction and evaluation in single-cell RNA-seq analysis.	GPL-2.0-or-later	2016-09-09	2016-09-09
TSEE	MATLAB	https://github.com/ShaokunAn/TSEE	TSEE: an elastic embedding method to visualize the dynamic gene expression patterns of time series single-cell RNA sequencing data	NA	2019-04-16	2019-04-16
Tweedieverse	R	https://github.com/himelmallick/Tweedieverse	Tweedieverse is an R package for differential analysis of multi-omics data	MIT	2021-04-05	2021-04-05
TWO-SIGMA	R	https://github.com/edvanburen/twosigma	R package for differential expression (DE) analysis and gene set testing (GST) in single-cell RNA-seq (scRNA-seq) data	GPL-2.0	2021-01-29	2021-12-17
txburst	Python	https://github.com/sandberg-lab/txburst	Transcriptional burst kinetics inference and analysis from allelic single-cell RNA-seq	NA	2019-01-11	2019-01-11
UCell	R	https://github.com/carmonalab/UCell	UCell is an R package for calculating gene signatures in single-cell datasets	GPL-3.0	2021-05-14	2021-07-27
ucie	R	NA	The goal of ucie is to map data into CIELab Color Space	MIT	2022-03-18	2022-03-18
UICPC	R	https://sites.google.com/view/hussinchowdhury/software	Centrality-based clustering for scRNA-seq data analysis without user input	NA	2021-09-10	2021-09-10
UMI_analysis	Perl/C	https://github.com/ncgr/UMI-analysis	The software identifies instances of sequence reads originating from the same mRNA molecule (sharing a UMI) but which map to a series of adjacent coordinates on the reference.	BSD-3-Clause	2018-12-01	2020-06-26
UMI-tools	Python	https://github.com/CGATOxford/UMI-tools	This repository contains tools for dealing with Unique Molecular Identifiers (UMIs)/Random Molecular Tags (RMTs).	MIT	2016-09-12	2018-03-14
UMICollapse	Java	https://github.com/Daniel-Liu-c0deb0t/UMICollapse	Accelerating the deduplication and collapsing process for reads with Unique Molecular Identifiers (UMI)	MIT	2019-05-31	2019-05-31
umis	Python	https://github.com/vals/umis	umis provides tools for estimating expression in RNA-Seq data which performs sequencing of end tags of trancsript, and incorporate molecular tags to correct for amplification bias.	MIT	2016-09-12	2018-03-14
UNCURL	Python	https://github.com/yjzhang/uncurl_python	UNCURL is an unified framework for unsupervised / semi-supervised learning using Single Cell RNA-Seq data.	MIT	2017-06-26	2021-06-28
UNIFAN	Python	https://github.com/doraadong/UNIFAN	UNIFAN (Unsupervised Single-cell Functional Annotation) simultaneously clusters and annotates cells with known biological processes (including pathways)	MIT	2021-11-27	2021-11-27
UnionCom	Python	https://github.com/caokai1073/UnionCom	Unsupervised Topological Alignment for Single-Cell Multi-Omics Integration	MIT	2020-02-13	2021-06-28
UniPath	R	https://github.com/reggenlab/UniPath	UniPath provides robust statistical methods to represent every single cell using pathway and gene-set enrichment scores.	GPL-2.0-or-later	2019-12-18	2021-01-08
UniverSC	Shell/Perl/R	https://github.com/minoda-lab/universc	UniverSC is a universal single-cell processing tool that supports any UMI-based platform	GPL-3.0	2021-01-22	2021-01-22
UPhyloplot2	Python	https://github.com/harbourlab/UPhyloplot2	Draw phylogenetic trees of tumor evolution from scRNA-seq data	NA	2020-06-05	2020-06-05
URD	R	https://github.com/farrellja/URD	URD is an R package designed for reconstructing transcriptional trajectories underlying specification or differentiation processes in the form of a branching tree, using single cell RNA-sequencing data.	GPL-3.0	2018-08-24	2018-08-24
uSORT	R	https://github.com/JinmiaoChenLab/uSORT	This package is designed to uncover the intrinsic cell progression path from single-cell RNA-seq data. It incorporates data pre-processing, preliminary PCA gene selection, preliminary cell ordering, feature selection, refined cell ordering, and post-analysis interpretation and visualization.	Artistic-2.0	2018-08-31	2018-08-31
VAE-SNE	Python	https://github.com/jgraving/vaesne	VAE-SNE is a deep generative model for both dimensionality reduction and clustering	Apache-2.0	2020-07-23	2020-07-23
VALERIE	R	https://github.com/wenweixiong/VALERIE	VALERIE enables visualisation of alternative splicing events from high-throughput single-cell RNA-sequencing experiments	GPL-3.0	2020-09-24	2020-09-24
VAM	R	https://www.dartmouth.edu/~hrfrost/VAM	Contains logic for cell-specific gene set scoring of single cell RNA sequencing data	GPL-2.0-or-later	2021-01-15	2021-01-15
VAMF	Stan/R/C++	https://github.com/willtownes/vamf	VAMF is a probabilistic dimension reduction method for single cell RNA-Seq datasets.	GPL-3.0	2018-03-15	2018-03-15
VarTrix	Rust	https://github.com/10XGenomics/vartrix	VarTrix is a software tool for extracting single cell variant information from 10x Genomics single cell data.	MIT	2018-09-14	2018-09-14
VASC	Python	https://github.com/wang-research/VASC	Variational autoencoder for single cell RNA-seq datasets	NA	2017-12-20	2019-01-06
VDJPuzzle	Python/Shell	https://bitbucket.org/kirbyvisp/vdjpuzzle2	TCR and BCR reconstruction from scRNA-seq data	Custom	2017-09-01	2018-04-17
VECTOR	R	https://github.com/jumphone/Vector	Unsupervised Inference of Developmental Directions for Single Cells	NA	2020-09-10	2020-09-10
